sex,age,studytime,absences,G1,G2,G3
2,18,2,6,25,30,30
2,17,2,4,25,25,30
2,15,2,10,35,40,50
2,15,3,2,75,70,75
2,16,2,4,30,50,50
1,16,2,10,75,75,75
1,16,2,0,60,60,55
2,17,2,6,30,25,30
1,15,2,0,80,90,95
1,15,2,0,70,75,75
2,15,2,0,50,40,45
2,15,3,4,50,60,60
1,15,1,2,70,70,70
1,15,2,2,50,50,55
1,15,3,0,70,80,80
2,16,1,4,70,70,70
2,16,3,6,65,70,70
2,16,2,4,40,50,50
1,17,1,16,30,25,25
1,16,1,4,40,50,50
1,15,2,0,65,70,75
1,15,1,0,60,75,75
1,16,2,2,75,75,80
1,16,2,0,65,65,60
2,15,3,2,50,45,40
2,16,1,14,30,45,40
1,15,1,2,60,60,55
1,15,1,4,75,80,75
1,16,2,4,55,55,55
1,16,2,16,50,60,55
1,15,2,0,45,55,60
1,15,2,0,85,80,85
1,15,2,0,85,80,80
1,15,2,0,40,50,60
1,16,1,0,60,70,75
2,15,1,0,40,35,30
1,15,3,2,75,80,90
1,16,3,7,75,80,75
2,15,3,2,60,60,55
2,15,1,8,70,65,65
2,16,2,25,35,50,55
1,15,1,8,60,60,60
1,15,2,2,95,90,90
1,15,1,0,40,40,55
2,16,2,14,50,50,45
2,15,2,8,40,40,30
2,16,2,12,55,60,55
1,16,4,4,95,95,100
1,15,2,2,75,75,70
2,15,2,2,35,35,35
2,16,2,2,60,65,65
2,15,2,2,55,65,65
1,15,1,6,55,55,50
2,15,1,0,40,50,55
2,15,1,6,50,65,65
2,16,2,8,40,45,50
2,15,2,0,70,75,75
1,15,2,4,70,75,75
1,15,2,2,45,50,45
2,16,2,2,75,80,80
2,16,2,6,50,55,55
2,16,1,6,50,40,55
2,16,2,4,40,50,45
2,16,3,2,50,45,45
2,15,2,0,50,50,50
2,16,2,2,80,75,75
1,15,4,4,65,65,60
2,16,4,4,35,35,30
2,15,2,2,40,45,40
2,15,4,12,80,80,80
1,16,4,0,65,75,75
1,15,4,0,50,50,50
2,15,2,2,40,30,25
1,16,1,2,60,60,70
2,16,2,54,55,60,55
1,15,2,6,45,45,50
1,15,4,8,55,55,50
2,16,4,0,55,55,55
1,17,1,2,40,40,50
2,16,2,12,25,25,25
1,15,1,2,50,60,60
1,15,3,4,55,50,55
2,15,2,10,35,30,30
1,15,2,4,75,75,75
2,15,2,2,45,50,50
2,15,2,6,35,45,40
2,16,2,4,40,35,30
2,15,3,4,65,70,70
1,16,2,12,55,50,50
1,16,2,18,40,30,35
2,16,3,0,35,35,40
2,15,1,4,80,85,90
2,16,2,4,35,30,30
2,16,2,0,55,50,50
1,15,4,6,55,65,70
2,15,4,2,35,50,50
1,16,1,2,55,75,75
2,16,2,2,40,45,50
2,16,1,6,55,70,70
2,16,3,0,35,45,40
1,16,1,14,35,35,25
1,16,3,0,80,85,85
1,15,1,4,50,65,70
2,15,2,26,35,30,30
1,15,2,0,80,90,90
2,15,4,10,50,55,55
2,15,4,8,35,40,40
1,16,3,2,80,90,90
1,15,4,6,50,65,65
2,16,3,4,70,75,80
1,15,1,6,90,95,95
2,16,3,0,35,50,50
2,16,2,6,50,65,65
1,15,1,10,90,95,95
1,15,2,8,45,45,45
1,16,2,2,75,75,80
1,15,2,2,55,65,70
1,16,1,0,65,70,65
1,17,2,20,45,35,40
1,15,1,6,70,65,65
2,15,2,2,80,75,75
1,15,4,6,80,70,75
2,16,2,2,65,65,65
1,16,1,18,70,55,65
2,16,2,0,40,35,40
1,15,1,0,65,65,60
2,15,2,0,35,50,55
2,19,2,2,35,40,45
1,18,1,0,35,20,0
1,16,1,8,90,90,90
2,15,3,0,60,0,0
2,15,1,0,40,0,0
2,17,1,12,50,65,60
2,16,1,16,60,55,55
1,15,2,0,45,0,0
2,15,3,0,55,0,0
1,17,2,0,50,0,0
2,16,1,0,20,0,0
1,16,2,0,70,60,60
2,15,1,0,80,80,75
1,15,4,0,35,45,0
1,16,1,8,45,45,45
2,15,3,2,45,55,55
2,16,1,2,70,70,65
1,17,1,0,25,0,0
2,15,2,0,40,55,55
2,15,2,0,30,35,0
2,15,2,2,50,55,55
1,16,1,0,35,30,0
1,15,1,0,40,45,50
1,18,1,0,30,25,0
1,16,1,6,60,65,70
2,15,3,8,50,50,50
1,19,1,0,25,0,0
2,17,1,0,55,55,60
1,15,2,2,55,40,40
1,17,1,8,80,60,65
2,18,1,6,45,40,50
1,16,1,2,85,75,75
1,16,2,4,50,60,60
1,17,1,0,35,30,0
1,15,2,6,25,45,35
1,16,1,0,35,0,0
1,17,1,2,50,50,50
1,17,2,0,25,40,35
1,16,1,16,60,55,60
1,16,2,4,50,50,50
2,16,2,0,70,75,80
2,16,2,0,30,35,0
2,16,2,0,70,70,70
1,16,1,0,30,25,0
1,16,2,2,65,75,80
1,17,2,0,65,55,50
2,16,2,0,40,35,0
2,16,2,4,50,55,45
1,17,2,4,50,45,45
2,16,2,2,65,65,55
1,17,2,4,30,25,30
1,16,1,10,50,40,45
1,17,2,4,50,50,55
1,16,2,10,45,40,40
1,16,2,2,60,65,60
2,17,2,0,80,85,85
2,17,2,56,45,45,40
2,16,2,14,60,65,60
1,17,2,12,60,60,55
1,16,1,2,55,60,55
1,16,2,0,75,75,75
2,17,2,6,40,35,45
1,17,2,4,40,45,50
2,16,2,10,55,60,65
2,17,2,0,40,40,45
1,17,2,12,35,40,40
1,16,1,8,40,45,50
1,16,1,0,65,70,70
2,17,2,0,70,75,75
1,17,1,4,85,75,80
1,16,1,8,45,45,50
2,17,1,24,90,90,90
2,16,2,0,45,45,50
2,16,2,2,80,80,80
2,16,2,6,40,50,50
2,17,2,4,45,45,50
2,17,1,18,35,30,30
2,16,4,6,50,50,55
2,17,3,28,50,45,45
2,16,2,5,35,35,35
2,16,2,10,55,60,65
2,16,1,6,45,45,50
2,17,3,6,35,35,35
2,19,4,10,40,40,40
1,17,2,13,60,60,65
2,16,2,0,60,65,70
1,18,2,15,30,35,40
2,17,1,12,40,50,50
2,17,2,2,70,75,75
2,17,2,22,30,30,20
1,18,2,13,30,30,40
2,17,1,3,35,35,40
2,17,3,4,45,50,50
2,17,2,2,30,30,30
2,17,3,0,30,25,0
2,16,2,2,80,80,85
1,18,2,0,60,65,65
2,16,3,0,65,65,70
2,18,2,16,45,40,35
2,17,2,10,80,75,75
1,17,2,2,60,55,60
1,18,2,14,50,40,45
2,17,3,10,60,50,60
2,17,2,14,65,65,70
1,17,2,4,55,55,55
1,17,2,14,55,45,45
1,16,2,2,70,65,65
1,16,2,18,45,35,30
1,16,3,10,55,45,50
1,17,2,4,70,65,65
2,16,1,20,65,60,60
2,17,2,2,65,55,55
1,18,2,0,35,35,0
1,17,2,14,60,60,60
1,17,2,2,50,55,60
1,16,1,0,30,0,0
1,16,1,0,65,60,60
2,18,3,0,35,0,0
1,16,1,6,90,90,90
1,17,1,4,60,60,65
1,22,1,16,30,40,40
1,18,2,8,15,25,25
1,16,1,0,65,75,75
1,18,1,0,30,40,40
1,16,2,6,35,50,50
1,18,1,4,30,45,40
1,16,1,0,40,45,40
1,17,1,0,40,60,60
1,17,1,2,35,45,40
2,17,4,6,70,60,65
1,19,2,12,55,55,55
1,18,2,8,75,70,70
2,17,4,0,50,45,0
2,18,2,21,85,90,90
1,18,2,2,40,40,40
1,18,3,1,65,60,60
2,17,3,4,50,45,45
2,18,3,0,45,50,0
1,18,2,13,85,85,85
1,17,2,2,45,45,50
2,18,2,8,60,50,55
1,18,2,10,50,45,50
2,18,2,0,30,0,0
2,19,2,15,45,45,45
2,18,4,4,75,70,70
2,18,2,2,55,55,55
1,17,2,2,75,70,70
2,17,2,2,50,50,50
2,17,2,6,60,60,60
2,18,2,75,50,45,45
1,18,1,22,45,45,45
2,18,2,15,45,40,40
1,18,1,8,50,55,50
1,17,1,30,40,40,40
1,17,1,19,55,45,50
2,18,4,1,60,60,60
2,18,2,4,40,45,50
2,17,2,4,50,45,55
1,17,2,2,60,50,55
2,18,3,5,90,90,95
2,17,3,6,65,60,60
1,18,3,6,75,70,70
1,18,2,9,75,65,75
1,18,2,11,60,55,55
2,17,3,0,75,75,75
2,18,2,12,60,60,65
2,17,4,6,90,90,90
1,18,3,8,70,65,70
1,17,1,4,70,60,55
2,19,2,0,50,45,0
2,18,2,10,50,40,40
2,18,4,0,70,65,70
1,18,1,5,80,75,80
2,18,2,14,60,50,55
1,17,1,0,55,55,50
2,17,3,0,75,60,70
2,17,4,0,85,85,90
1,19,2,20,75,70,65
2,18,2,8,70,60,60
1,20,1,0,85,90,90
1,19,1,38,40,45,40
1,19,2,0,75,60,60
2,19,2,18,60,50,50
2,19,2,0,45,45,0
2,19,2,20,70,60,65
1,19,2,3,65,55,55
2,19,2,22,65,50,55
2,19,3,14,75,65,65
2,19,3,40,65,55,55
2,18,2,0,40,40,0
2,18,3,9,45,50,45
2,17,3,0,55,55,50
2,18,2,2,55,55,55
2,17,2,23,65,65,65
2,17,2,12,55,45,45
2,17,3,3,55,55,55
2,17,3,1,60,70,75
2,17,3,0,80,75,75
1,18,3,3,45,60,55
1,17,1,3,70,75,80
1,17,1,8,55,50,50
2,17,3,7,50,45,45
2,17,3,4,70,70,70
1,18,4,2,45,40,40
2,17,3,7,60,70,70
2,18,2,0,35,0,0
2,18,2,0,40,40,0
2,18,4,0,50,45,0
2,17,3,16,80,75,75
2,19,3,12,70,65,65
2,17,2,0,35,40,0
2,18,4,7,80,75,85
2,17,2,4,45,50,50
2,19,3,4,55,60,55
1,18,2,0,50,50,0
1,18,2,11,80,75,75
2,17,2,0,45,40,0
2,18,3,4,55,50,50
2,18,3,7,65,65,70
1,18,3,9,80,75,80
1,18,3,0,50,50,45
2,17,3,0,65,75,75
1,18,1,10,55,65,65
1,19,2,8,40,35,40
1,17,2,2,65,65,65
1,18,1,7,40,35,40
1,19,1,4,40,40,40
1,17,2,4,65,55,55
2,18,2,0,50,45,45
2,17,2,4,60,65,65
2,17,2,2,60,60,55
1,18,1,4,50,50,50
2,18,3,0,90,80,80
2,18,2,0,65,65,65
1,18,2,2,65,60,60
2,18,2,0,55,55,50
2,17,2,0,80,75,75
2,17,2,0,60,55,60
1,18,2,4,50,50,50
1,18,3,0,65,65,65
2,17,1,0,35,30,0
2,18,1,0,55,50,50
2,18,2,10,70,60,55
2,19,2,4,35,35,45
1,18,1,3,70,60,60
2,17,3,8,65,55,55
2,17,1,14,30,25,25
2,18,3,0,95,90,95
2,18,3,2,40,40,50
2,20,3,4,75,70,75
2,18,2,4,40,45,50
2,18,2,0,75,75,75
2,17,2,17,50,50,50
1,18,2,4,75,70,70
1,18,1,5,35,30,35
1,17,2,2,55,55,50
1,19,1,0,30,25,0
1,18,1,14,30,25,25
2,18,3,2,50,45,50
2,18,1,7,30,25,30
2,19,3,0,35,25,0
2,18,2,0,35,45,40
2,18,2,0,30,25,0
1,20,2,11,45,45,45
1,17,1,3,70,80,80
1,21,1,3,50,40,35
1,18,1,0,55,60,50
1,19,1,5,40,45,45